starttime,speed,volume
"5/4/2022 12:00 am",50.56,1066
"5/5/2022 12:00 am",48.61,1017
"5/6/2022 12:00 am",49.40,1049
"5/7/2022 12:00 am",56.20,860
"5/8/2022 12:00 am",55.89,846
"5/9/2022 12:00 am",53.10,1039
"5/10/2022 12:00 am",49.60,986
"5/11/2022 12:00 am",51.99,1075
"5/12/2022 12:00 am",49.09,1032
"5/13/2022 12:00 am",50.45,1077
"5/14/2022 12:00 am",55.61,979
"5/15/2022 12:00 am",56.26,885
"5/16/2022 12:00 am",50.58,1039
"5/17/2022 12:00 am",51.25,1078
"5/18/2022 12:00 am",52.74,1071
"5/19/2022 12:00 am",51.05,1067
"5/20/2022 12:00 am",51.36,1115
"5/21/2022 12:00 am",55.48,980
"5/22/2022 12:00 am",56.75,896
"5/23/2022 12:00 am",52.14,1024
"5/24/2022 12:00 am",51.07,1050
"5/25/2022 12:00 am",50.30,1077
"5/26/2022 12:00 am",48.09,1047
"5/27/2022 12:00 am",50.12,1087
"5/28/2022 12:00 am",56.31,903
"5/29/2022 12:00 am",57.65,846
"5/30/2022 12:00 am",58.23,852
"5/31/2022 12:00 am",51.38,988
"6/1/2022 12:00 am",51.49,1069
"6/2/2022 12:00 am",51.35,1084
"6/3/2022 12:00 am",50.16,1081
"6/4/2022 12:00 am",54.51,949
"6/5/2022 12:00 am",56.08,732
"6/6/2022 12:00 am",52.14,1055
"6/7/2022 12:00 am",50.60,1078
"6/8/2022 12:00 am",48.45,1054
"6/9/2022 12:00 am",49.14,1107
"6/10/2022 12:00 am",47.05,1049
"6/11/2022 12:00 am",55.44,953
"6/12/2022 12:00 am",56.67,901
"6/13/2022 12:00 am",51.46,1044
"6/14/2022 12:00 am",49.68,1102
"6/15/2022 12:00 am",51.58,1095
"6/16/2022 12:00 am",47.93,995
"6/17/2022 12:00 am",47.79,1053
"6/18/2022 12:00 am",54.83,981
"6/19/2022 12:00 am",54.14,910
"6/20/2022 12:00 am",52.85,1045
"6/21/2022 12:00 am",50.08,1068
"6/22/2022 12:00 am",48.39,1041
"6/23/2022 12:00 am",49.69,1080
"6/24/2022 12:00 am",48.27,1047
"6/25/2022 12:00 am",54.81,988
"6/26/2022 12:00 am",56.86,938
"6/27/2022 12:00 am",51.72,1037
"6/28/2022 12:00 am",50.38,1069
"6/29/2022 12:00 am",50.26,1070
"6/30/2022 12:00 am",49.32,1078
"7/1/2022 12:00 am",49.10,1055
"7/2/2022 12:00 am",56.87,967
"7/3/2022 12:00 am",58.44,874
"7/4/2022 12:00 am",59.55,775
